UserID,Age,Gender,Country,Purchase Amount,Purchase Date,Product Category
81,31,Male,France,453.4,19-07-2021,Beauty
82,48,Male,USA,,29-11-2021,Electronics
83,65,Male,UK,213.82,03-07-2022,Home & Kitchen
84,32,Female,Germany,87.59,07-10-2020,Beauty
85,25,Female,UK,146.73,07-03-2020,Beauty
86,31,Female,Germany,278.88,23-06-2020,Clothing
87,40,Female,Canada,288.19,29-04-2023,Beauty
88,57,Other,USA,316.88,11-10-2020,Sports
89,38,Male,USA,418.5,31-10-2020,Clothing
90,33,Other,Germany,,,
91,62,Male,France,134.12,03-03-2022,Beauty
92,35,Male,Australia,200.55,10-02-2021,Home & Kitchen
93,,Other,France,420.71,27-11-2020,Books
94,41,Female,Canada,318.52,31-10-2020,Sports
95,,Other,Germany,87.38,,Electronics
96,42,Other,Canada,166.14,30-10-2021,Home & Kitchen
97,62,Male,,396.59,11-02-2022,Clothing
98,58,Male,Canada,90.19,04-07-2021,Home & Kitchen
99,,Male,Germany,347.07,21-09-2022,Electronics
100,32,Female,USA,283.95,22-09-2023,Clothing
101,62,Other,Canada,78,19-11-2022,Sports
102,18,Other,Canada,346,15-03-2021,Clothing
103,42,Female,Germany,75.46,14-09-2020,Clothing
104,24,Other,UK,202.23,21-02-2022,Electronics
105,,Other,UK,157.74,16-07-2021,Clothing
106,41,Male,,346.55,21-08-2020,Home & Kitchen
107,18,Female,France,392.27,26-01-2020,Books
108,61,Male,France,88.32,06-06-2021,Electronics
109,25,Female,USA,406.94,18-01-2021,Electronics
110,41,Male,France,8.57,27-01-2021,Electronics
111,28,Other,Australia,267.38,06-04-2021,Home & Kitchen
112,68,Female,Australia,260.81,18-04-2022,Home & Kitchen
113,34,Female,Australia,313.79,07-03-2023,Home & Kitchen
114,25,Male,Australia,123.65,06-01-2022,Beauty
115,52,Female,Germany,9.88,19-04-2020,Home & Kitchen
116,52,Other,UK,230.11,13-09-2023,Clothing
117,50,Other,USA,40.35,24-07-2020,Electronics
118,22,Other,,,30-12-2022,Beauty
119,59,,Australia,,,Electronics
120,56,Female,USA,215.49,03-07-2020,Sports
121,58,Male,UK,219.83,24-08-2021,Books
122,45,Other,France,278.67,28-01-2022,Clothing
123,24,Female,Germany,392.35,07-11-2023,Books
124,26,Other,UK,,14-01-2022,Clothing
125,25,Female,USA,,09-06-2022,Clothing
126,29,Female,Canada,386.7,02-02-2021,Clothing
127,51,Male,Germany,45.68,28-06-2021,Electronics
128,,Female,USA,322.57,25-06-2022,Books
129,65,Other,,402.7,12-11-2021,Books
130,40,Female,UK,144.93,04-09-2022,Home & Kitchen
131,41,Other,USA,227.31,09-11-2020,Books
132,54,Male,Germany,,15-08-2020,
133,52,Other,Australia,402.92,19-10-2021,Sports
134,,Female,Germany,353.11,15-03-2023,Home & Kitchen
135,,Other,,,,Beauty
136,39,Other,,198.16,22-11-2021,Clothing
137,44,Female,Germany,349.18,26-10-2020,Electronics
138,52,Other,Canada,182.29,15-07-2022,Beauty
139,18,Female,Australia,85.4,12-07-2023,Clothing
140,52,Male,,261.66,09-12-2022,Sports
141,54,Other,UK,363.17,11-01-2022,Beauty
142,64,Male,UK,163.8,30-10-2023,Electronics
143,31,Other,France,65.28,01-03-2020,
144,20,Other,France,415.62,08-11-2022,Beauty
145,18,Male,Germany,,03-11-2020,Clothing
146,22,Other,USA,258.84,20-06-2021,Electronics
147,43,Other,USA,347.21,15-05-2023,Sports
148,31,Male,Canada,161.95,10-09-2023,Beauty
149,56,Other,Australia,326.08,15-03-2020,Home & Kitchen
150,44,Female,USA,232.56,12-12-2023,Books
151,26,Other,Canada,287.37,13-09-2023,Clothing
152,32,Other,Canada,297.34,28-07-2023,Home & Kitchen
153,32,Other,UK,,03-01-2023,Sports
154,,Male,UK,329.88,16-08-2021,Sports
155,59,Female,Australia,135.83,31-08-2021,Beauty
156,,Female,Germany,34.5,03-09-2021,Beauty
157,,Other,,5.98,17-10-2022,Electronics
158,49,Male,France,452.69,23-02-2022,Home & Kitchen
159,56,Male,Australia,471.34,28-08-2020,Sports
160,66,Female,Canada,51.59,05-01-2020,Electronics
161,69,Male,Australia,246.09,23-05-2023,Books
162,49,Other,France,80.04,01-05-2021,Books
163,21,Other,Canada,474.63,22-12-2020,Electronics
164,47,Male,France,127.18,28-01-2021,Home & Kitchen
165,54,Other,Germany,253.32,24-03-2023,Electronics
166,40,Female,UK,86.98,15-11-2023,Beauty
167,56,Other,UK,169.72,03-01-2021,Electronics
168,62,Male,Canada,137.07,29-01-2020,Home & Kitchen
169,32,Female,Australia,240.34,17-12-2023,Books
170,60,Other,France,212.79,23-08-2022,Sports
171,46,Female,USA,168.74,09-01-2020,Books
172,53,Male,Germany,57.41,08-05-2023,Beauty
173,30,Other,France,244.82,29-11-2020,Home & Kitchen
174,49,Other,USA,425.85,07-08-2022,Clothing
175,24,Female,Germany,,17-08-2020,Home & Kitchen
176,68,Other,Germany,361.68,,Books
177,39,Other,UK,186.22,24-08-2023,Books
178,45,Other,Canada,355.67,16-09-2023,Home & Kitchen
179,19,Other,France,235.44,17-02-2022,Home & Kitchen
180,59,Male,Germany,79.39,15-10-2023,Home & Kitchen
181,62,Other,France,212.43,21-04-2023,Books
182,,Female,Germany,70.71,21-01-2021,Beauty
183,45,Male,Australia,61.67,18-04-2020,
184,45,Female,UK,16.41,04-12-2020,Clothing
185,61,Female,Canada,145.01,08-05-2023,Electronics
186,61,Female,USA,,19-04-2023,Beauty
187,,Male,USA,351.22,18-07-2021,Books
188,,Male,Australia,271.31,31-12-2023,Electronics
189,28,Male,UK,429.93,12-04-2022,Home & Kitchen
190,45,Other,Germany,92.35,29-11-2022,Sports
191,42,Female,UK,136.65,09-08-2020,Home & Kitchen
192,56,Male,Canada,470.83,23-10-2020,Clothing
193,50,Female,USA,224.8,18-11-2022,Home & Kitchen
194,18,Male,France,395.58,15-07-2022,Sports
195,,Male,USA,248.62,10-05-2023,Books
196,69,Male,Canada,238.19,21-09-2022,Electronics
197,30,Female,Germany,78.32,15-09-2022,Home & Kitchen
198,,,UK,426.34,29-04-2021,Beauty
199,20,Male,USA,,09-05-2020,Electronics
200,56,Male,USA,158.58,17-02-2020,Clothing
201,23,Male,France,338.37,06-04-2022,Beauty
202,25,,,256.09,10-12-2023,Beauty
203,44,Female,France,441.28,22-08-2021,Electronics
204,26,Female,,24.45,08-02-2022,Clothing
205,54,Female,Germany,,24-07-2021,Clothing
206,50,Female,USA,,01-04-2021,Beauty
207,68,Male,Australia,,08-12-2022,Home & Kitchen
208,59,Other,UK,372.91,28-12-2021,Beauty
209,61,Male,Germany,208.6,04-01-2023,Beauty
210,41,Other,Australia,268.13,25-06-2023,Beauty
211,32,Female,Germany,483.8,16-10-2020,Sports
212,49,Other,Germany,,18-06-2021,Electronics
213,49,Male,Canada,412.57,11-03-2021,Clothing
214,41,Male,Canada,,07-04-2022,Clothing
215,58,Female,Germany,333.06,07-11-2023,Clothing
216,69,Male,Canada,448.92,,Books
217,66,Male,UK,129.54,07-09-2020,Beauty
218,66,Other,,411.28,,Electronics
219,,Male,Australia,192,12-07-2022,Electronics
220,29,Female,UK,407.18,31-10-2020,Clothing
221,56,Female,USA,249.43,10-07-2021,Electronics
222,19,Male,Canada,,,Electronics
223,20,Female,Australia,447.95,17-09-2022,Books
224,66,Other,UK,,11-05-2020,Clothing
225,54,,France,256.28,26-11-2023,
226,,Male,Germany,392.72,03-10-2022,Sports
227,,Male,USA,137.16,10-01-2021,Clothing
228,66,Other,USA,12.6,17-11-2021,Electronics
229,19,Female,France,206.51,05-01-2021,Books
230,19,Male,France,256.35,06-12-2023,Beauty
231,45,Male,Germany,152.15,03-06-2020,Sports
232,40,Female,Canada,194.76,01-09-2020,Home & Kitchen
233,54,Male,UK,70.86,25-06-2021,
234,49,Female,UK,142.26,12-11-2021,Beauty
235,50,Female,UK,123.85,03-01-2023,Sports
236,18,Female,Canada,153.99,14-05-2023,Home & Kitchen
237,36,Female,Germany,153.03,15-06-2022,Sports
238,19,Female,UK,281.69,22-12-2023,Beauty
239,,Other,USA,129.05,,Beauty
240,43,Female,USA,470.78,15-12-2023,Electronics
241,49,Other,USA,258.08,03-11-2021,Home & Kitchen
242,23,Female,France,,18-03-2023,Home & Kitchen
243,49,Male,France,143.41,28-03-2020,Sports
244,21,Other,Canada,366.23,06-04-2023,Electronics
245,28,Male,UK,11.76,27-04-2023,
246,34,Female,,,11-02-2023,Clothing
247,55,Female,USA,,13-01-2020,Clothing
248,41,Male,France,262.93,30-05-2022,Electronics
249,,Female,USA,494.26,20-09-2022,Beauty
250,69,Male,UK,254.18,,
251,51,Female,,474.13,19-04-2023,Beauty
252,23,,Germany,458.04,15-11-2020,Sports
253,,Other,Germany,470.95,18-10-2020,Books
254,28,Male,USA,407.12,,Books
255,65,Female,France,151.72,11-02-2022,Clothing
256,33,Male,France,176.46,19-04-2022,Home & Kitchen
257,50,Other,USA,185.67,12-07-2022,Books
258,26,Male,UK,489.69,27-12-2023,Home & Kitchen
259,23,Other,USA,183.57,07-04-2023,Home & Kitchen
260,33,Male,UK,58.8,05-02-2021,Beauty
261,46,Male,Canada,390.27,06-06-2020,Beauty
262,20,Other,Canada,186.2,18-01-2021,Beauty
263,37,Female,USA,312.36,01-02-2021,Electronics
264,53,Female,Canada,462.56,25-02-2020,Books
265,36,Female,France,289.88,01-01-2023,Books
266,43,Male,UK,320.66,27-08-2022,Home & Kitchen
267,20,Male,Germany,323.22,29-01-2022,Home & Kitchen
268,36,Female,Germany,308.14,17-04-2021,Beauty
269,37,Male,Canada,84.09,18-04-2023,Electronics
270,49,Male,UK,230.93,12-07-2020,
271,24,Female,France,8.79,07-03-2022,Sports
272,69,Other,Germany,,08-11-2023,
273,,Male,France,289.8,,
274,50,Male,France,162.48,06-06-2023,Beauty
275,57,Male,Germany,264.33,05-03-2022,Books
276,56,Male,Germany,,15-04-2022,Electronics
277,35,Other,Canada,129.2,,Electronics
278,57,Female,UK,150.18,22-09-2020,Sports
279,18,Male,USA,382.46,04-03-2022,Home & Kitchen
280,28,Female,UK,,30-12-2022,Books
281,45,Male,USA,237.54,31-03-2020,Home & Kitchen
282,42,Other,,360.17,04-01-2023,Books
283,67,Female,France,228.15,20-03-2021,Electronics
284,40,Other,UK,426.43,05-05-2023,Beauty
285,48,Male,France,169.74,22-04-2023,Electronics
286,47,Other,UK,,17-03-2020,Electronics
287,59,Other,Australia,273.43,13-08-2023,
288,52,Male,,270.17,12-11-2023,Books
289,24,Male,France,337.05,17-11-2020,Electronics
290,33,Female,Australia,173.72,24-02-2021,Beauty
291,43,Male,,363.54,29-06-2021,Sports
292,65,Female,Germany,163.61,22-08-2023,Home & Kitchen
293,69,Other,Canada,201.78,11-12-2020,Sports
294,66,Other,Canada,338.98,15-12-2021,Sports
295,19,Female,UK,,25-12-2021,Clothing
296,18,Male,Germany,103.99,11-10-2021,
297,65,Male,Australia,436.59,,Clothing
298,29,Other,UK,461.47,01-10-2023,Beauty
299,22,Female,USA,,20-10-2021,Books
300,54,Other,UK,406.52,28-05-2020,Sports
301,49,Other,Australia,493.39,21-02-2021,Sports
302,26,Male,France,309.31,18-11-2022,Sports
303,58,Female,UK,454.85,04-02-2022,Sports
304,52,Other,USA,,27-04-2023,Clothing
305,36,Male,UK,,05-03-2020,Books
306,65,Other,Australia,32.62,06-11-2021,Clothing
307,33,Other,USA,395.54,11-08-2020,Sports
308,20,Male,Germany,415.75,20-04-2021,Books
309,37,Male,Australia,,21-11-2020,Home & Kitchen
310,41,Female,UK,321.28,30-04-2023,Clothing
311,50,Other,USA,429.89,28-03-2020,Electronics
312,41,Female,Australia,442.39,06-06-2020,Home & Kitchen
313,69,Male,Germany,57.73,20-07-2023,Home & Kitchen
314,28,Male,France,414.61,,Sports
315,66,Other,Canada,140.75,17-09-2023,Sports
316,25,Female,USA,365.02,08-10-2020,Home & Kitchen
317,53,Female,France,165.96,,Clothing
318,55,Other,Germany,32.88,11-06-2020,Books
319,57,Other,France,,12-04-2023,Clothing
320,37,Female,UK,207.29,05-02-2023,Clothing
321,52,Male,Canada,371.91,19-06-2022,Home & Kitchen
322,65,Male,USA,54.85,17-08-2023,Clothing
323,42,Other,Australia,407.4,26-11-2020,Books
324,52,Female,Germany,498.49,23-05-2020,Home & Kitchen
325,42,Female,Canada,395.19,17-12-2022,Clothing
326,,Female,Germany,239.5,14-08-2023,Sports
327,35,Male,France,286.24,26-04-2023,Beauty
328,63,Male,Germany,8.05,15-03-2021,Clothing
329,35,Female,,108.59,02-05-2021,Beauty
330,19,Female,France,450,14-11-2023,Beauty
331,52,Other,,15.76,09-11-2022,Beauty
332,,Other,,452.87,20-05-2023,Home & Kitchen
333,58,Female,USA,,19-06-2021,Home & Kitchen
334,53,Female,France,70.87,20-08-2022,Beauty
335,50,Male,Canada,91.8,28-12-2021,Sports
336,21,Female,Germany,400.7,11-10-2021,Home & Kitchen
337,50,Other,Germany,241.7,26-10-2021,Beauty
338,31,Male,Australia,76.87,,Beauty
339,38,Other,,344.97,04-09-2022,Electronics
340,65,Other,France,470.64,23-05-2022,Home & Kitchen
341,37,Male,Canada,288.36,21-06-2020,Clothing
342,25,Other,Australia,53.86,31-08-2022,Books
343,24,Female,Canada,,01-01-2020,Clothing
344,20,Other,USA,398.96,14-11-2022,Home & Kitchen
345,34,Male,Australia,314.91,,Beauty
346,50,Male,Canada,461.72,29-05-2022,Electronics
347,65,Male,France,275.89,09-05-2023,Clothing
348,29,Other,Canada,35.89,26-07-2022,Books
349,68,,UK,204.82,29-04-2023,Beauty
350,39,Male,Germany,330.71,,Clothing
351,39,Female,Germany,195.52,12-02-2021,Sports
352,63,Male,Australia,499.8,20-08-2023,Electronics
353,47,Female,Canada,205.66,13-01-2022,Home & Kitchen
354,55,Female,Canada,275.39,31-07-2021,Clothing
355,55,Female,Canada,116.57,22-03-2020,Clothing
356,62,Male,Canada,80.31,25-08-2021,Clothing
357,68,Other,UK,324.43,30-06-2021,Clothing
358,25,Other,France,296.36,,Books
359,44,Other,UK,7.15,25-06-2020,Sports
360,44,Female,UK,145.97,17-10-2021,Beauty
361,51,Male,UK,323.57,23-05-2023,Sports
362,38,Female,Germany,407.06,14-09-2022,Electronics
363,47,Male,UK,159.62,20-05-2020,Electronics
364,50,Female,Canada,325.48,24-09-2020,
365,45,Male,UK,136.3,18-05-2020,Sports
366,64,Male,Canada,346.74,06-12-2022,Electronics
367,50,Male,Australia,350.48,19-12-2022,Home & Kitchen
368,22,Female,France,69.46,14-07-2021,Sports
369,65,Other,Germany,334.22,20-12-2022,Clothing
370,36,Female,,170.12,23-01-2023,Sports
371,21,Female,Australia,90.43,31-12-2021,Home & Kitchen
372,52,Male,France,252.68,09-02-2020,Clothing
373,66,Male,Germany,,01-10-2023,Sports
374,34,Other,Canada,,12-09-2023,Clothing
375,,Other,Australia,46.84,12-03-2021,Clothing
376,45,Male,Australia,395.93,,Books
377,47,Other,Canada,57.51,13-01-2022,Home & Kitchen
378,,Other,Canada,107.69,19-05-2023,Books
379,63,Male,Germany,260.36,07-02-2020,Sports
380,23,Female,UK,234.27,12-04-2021,Beauty
381,52,Other,USA,494.49,12-11-2020,Clothing
382,58,Male,UK,296.79,19-05-2023,Sports
383,54,Other,UK,167.08,11-01-2023,Sports
384,41,Other,France,450.57,11-10-2023,Beauty
385,46,Male,USA,159.55,21-09-2021,Books
386,,Other,Canada,140.52,25-03-2022,Sports
387,63,Other,UK,249.71,22-06-2021,Home & Kitchen
388,48,Other,Germany,457.02,27-07-2020,Clothing
389,52,Female,UK,,23-07-2023,Electronics
390,50,Female,Canada,340.35,06-05-2021,Beauty
391,69,Other,UK,364.41,,Home & Kitchen
392,38,Male,Australia,331.52,06-08-2021,Electronics
393,49,Other,France,381.1,27-02-2020,Beauty
394,40,Other,France,100.42,12-08-2023,
395,50,Female,UK,,30-01-2021,Books
396,20,Female,France,184.27,29-10-2023,Electronics
397,35,Female,Germany,426.23,21-12-2022,Clothing
398,42,Other,USA,358.65,27-03-2020,Books
399,59,Other,UK,285.4,02-09-2021,
400,48,Male,Germany,,23-11-2023,Home & Kitchen
401,20,Other,Australia,121.72,21-02-2023,Home & Kitchen
402,,Other,Germany,402.74,07-10-2021,Beauty
403,63,Female,Germany,125.03,09-10-2020,Sports
404,41,,Australia,,28-05-2021,Books
405,67,Female,Canada,96.39,20-06-2022,Books
406,49,Female,UK,305.15,,Books
407,64,Female,,315.96,05-06-2020,Clothing
408,39,Male,UK,377.22,13-08-2020,
409,40,Male,USA,221.98,12-04-2022,
410,19,Male,Germany,318.17,18-11-2023,Beauty
411,44,Female,UK,,22-09-2020,Home & Kitchen
412,59,Female,France,473.93,13-07-2023,Sports
413,19,Female,Canada,263.33,04-08-2023,Electronics
414,43,Male,Australia,108.75,,Sports
415,34,Female,Australia,335.61,05-09-2023,Sports
416,57,Male,USA,276.49,17-04-2021,Beauty
417,50,Female,Australia,402.9,02-02-2021,Sports
418,26,Other,Canada,92.57,01-01-2023,Electronics
419,60,Male,Germany,134.17,11-06-2021,Clothing
420,65,Other,Australia,461.21,11-01-2023,Home & Kitchen
421,56,Male,Australia,,22-06-2020,
422,46,Female,,,08-06-2022,Electronics
423,59,Female,Germany,28.64,22-12-2023,Home & Kitchen
424,43,Other,UK,156.74,17-10-2020,Clothing
425,52,Female,Canada,127.33,,Home & Kitchen
426,67,Male,Australia,210.27,16-07-2021,Clothing
427,42,Female,France,162.31,18-10-2023,Electronics
428,41,Female,,415.35,04-07-2020,Electronics
429,30,Male,USA,6.5,25-10-2022,Home & Kitchen
430,24,Other,France,324.09,09-07-2023,Beauty
431,53,,USA,333.81,27-06-2020,Home & Kitchen
432,62,Female,Australia,332.01,11-03-2023,Sports
433,37,Male,France,262.69,15-07-2023,Sports
434,18,Other,,307.5,17-09-2021,Home & Kitchen
435,25,Other,Canada,406.19,14-04-2021,Sports
436,63,Female,,393.18,01-10-2022,Home & Kitchen
437,33,Male,Germany,22.14,27-09-2022,Books
438,31,Other,France,20.07,27-12-2022,Sports
439,29,Female,France,420.28,16-04-2020,Home & Kitchen
440,68,Female,USA,289.49,24-07-2021,Books
441,40,Female,France,478.93,31-12-2023,Sports
442,32,Female,Canada,218.64,20-11-2022,Electronics
443,45,Other,France,92.49,,Home & Kitchen
444,51,Male,Germany,239.25,16-10-2021,Electronics
445,19,Female,Germany,221.09,11-02-2020,Beauty
446,49,Female,Canada,261,25-04-2023,Sports
447,40,Other,Canada,404.93,19-08-2021,Beauty
448,,Female,Canada,329.51,13-05-2022,Books
449,,Female,France,96.71,27-04-2022,Home & Kitchen
450,42,Male,France,368.57,17-08-2023,Books
451,39,Female,,297.99,17-09-2020,Electronics
452,39,Other,Australia,,01-11-2021,Home & Kitchen
453,,Male,Australia,340.74,26-11-2021,Beauty
454,69,Other,USA,284.16,04-07-2023,Electronics
455,59,Male,France,231.47,08-04-2022,Electronics
456,23,Male,UK,321.99,26-12-2022,Books
457,32,Female,UK,363.24,07-08-2020,Beauty
458,60,Female,Germany,116.75,08-09-2023,Sports
459,54,Female,France,251.04,13-05-2022,Beauty
460,50,Other,UK,231.8,18-12-2022,Electronics
461,,Female,Germany,24.75,16-04-2023,Electronics
462,61,Female,USA,418.05,05-04-2021,Clothing
463,61,Male,Germany,191.8,,Books
464,22,Female,USA,40.98,09-02-2023,Electronics
465,56,Female,Australia,231.66,09-09-2023,Beauty
466,21,Female,,84.93,30-06-2020,Clothing
467,23,Female,Canada,353.69,10-04-2021,Books
468,62,Male,Canada,288.03,11-08-2020,Home & Kitchen
469,49,Female,Germany,138.71,01-02-2021,Sports
470,69,Male,Canada,475.48,29-03-2023,Books
471,47,Other,France,149.41,29-03-2021,Electronics
472,,Female,Germany,279.72,28-12-2020,
473,,Female,UK,401.78,14-02-2022,Clothing
474,57,Female,France,259.38,05-11-2021,Home & Kitchen
475,69,Male,Germany,480.62,03-01-2020,Clothing
476,,Female,Australia,422.71,15-08-2021,Electronics
477,30,Female,USA,460.9,21-11-2021,Books
478,67,Other,Canada,,15-10-2023,Home & Kitchen
479,59,Male,Canada,276.44,28-04-2022,Sports
480,47,Male,Canada,420.88,31-08-2023,Sports
481,36,Other,Germany,452.23,28-08-2021,Electronics
482,34,,France,472.46,29-12-2021,Home & Kitchen
483,36,Female,USA,440.18,22-01-2020,Home & Kitchen
484,45,Female,Canada,366.72,24-02-2021,Electronics
485,43,Other,France,16.99,23-02-2023,Beauty
486,54,Male,UK,160.9,29-11-2023,Home & Kitchen
487,43,Male,Australia,,24-09-2020,Clothing
488,40,Male,UK,81.61,06-09-2021,Clothing
489,26,,USA,149,21-07-2021,Electronics
490,29,Female,Canada,42,08-01-2022,Electronics
491,,Other,UK,,03-02-2023,Clothing
492,,Female,Australia,478.7,17-10-2021,Books
493,64,Other,France,159.41,28-06-2021,Electronics
494,51,Female,France,84.06,19-06-2020,Clothing
495,49,Male,UK,360.56,31-10-2020,
496,65,Male,,415.11,29-11-2020,Books
497,42,Male,Australia,160.45,,Beauty
498,57,Other,USA,142.86,03-02-2021,Clothing
499,62,Other,Canada,124.67,06-04-2023,Beauty
500,18,Other,Germany,,20-08-2022,Clothing
501,33,Male,UK,48.18,24-05-2022,Home & Kitchen
502,56,Female,,336.22,15-08-2022,Books
503,22,Male,UK,412,07-05-2022,Sports
504,39,Male,USA,333.52,30-11-2020,Home & Kitchen
505,46,Female,Canada,213.49,24-03-2023,Home & Kitchen
506,20,,Australia,148.04,21-01-2022,Books
507,29,Female,,207.68,21-09-2021,Books
508,,Female,UK,214.8,,Books
509,33,Male,,334.68,21-03-2020,Electronics
510,68,Other,Germany,464.39,28-06-2022,Clothing
511,54,Male,Australia,39.94,25-03-2021,Beauty
512,39,Female,Australia,,19-10-2022,Clothing
513,46,Other,Canada,,11-07-2022,Clothing
514,31,Other,Canada,63.28,26-08-2023,Books
515,45,Male,UK,95.87,10-11-2021,Home & Kitchen
516,22,,France,159.24,15-11-2021,Books
517,64,Male,Germany,282.03,,Books
518,66,Other,France,,09-09-2023,Home & Kitchen
519,47,Other,Australia,104.17,30-12-2021,
520,63,Other,France,451.82,05-06-2023,Beauty
521,,Female,UK,59.1,21-08-2022,Electronics
522,22,Female,France,202.44,09-07-2020,Sports
523,29,Male,Germany,382.69,30-08-2022,Books
524,33,Other,Australia,444.85,10-10-2022,Clothing
525,43,Male,USA,171.34,10-11-2021,Clothing
526,43,Other,Australia,86.4,13-08-2023,Home & Kitchen
527,65,,USA,369.82,07-07-2020,Books
528,38,Female,Germany,387.42,,Home & Kitchen
529,56,Other,Australia,,27-05-2021,Home & Kitchen
530,53,Female,Australia,74.07,,Electronics
531,50,Other,Australia,,09-08-2021,Home & Kitchen
532,47,Male,Australia,211.56,,Books
533,54,Other,UK,457.74,10-05-2022,Electronics
534,40,Female,Canada,206.88,22-09-2022,Clothing
535,27,Other,Australia,225.75,22-05-2020,Electronics
536,22,Male,UK,67.76,,Books
537,53,Other,Germany,163.86,12-07-2020,Beauty
538,51,Female,Australia,203.42,05-06-2021,Sports
539,69,Male,France,,27-12-2023,Electronics
540,48,Female,Australia,221.6,08-03-2023,
541,27,Other,,171.48,19-11-2022,Sports
542,,Female,USA,402.9,26-07-2023,Electronics
543,,Other,France,58.02,28-02-2022,Electronics
544,18,Male,Australia,,01-12-2022,Home & Kitchen
545,22,Female,Australia,358.44,05-06-2023,Sports
546,62,Female,,124.68,20-02-2021,Beauty
547,21,Other,UK,46.22,09-05-2023,Sports
548,,Female,Germany,421.71,,Electronics
549,41,Female,USA,128.47,20-11-2021,Books
550,33,Male,Australia,77.05,02-01-2021,Books
551,19,Other,Germany,182.72,20-08-2021,Sports
552,66,Other,USA,,13-07-2021,Home & Kitchen
553,45,Male,USA,,15-03-2022,Home & Kitchen
